Depth,Salinity,pH,Chlorophyl
404,34.46,9.102,0.00853
406,34.34,9.099,0.00767
408,34.24,9.098,0.00682
410,34.13,9.106,0.00767
412,34.75,9.114,0.00767
429,32.96,9.173,0.00682
433,34.37,9.202,0.00853
435,34.58,9.213,0.00597
437,34.47,9.226,0.00767
439,34.53,9.238,0.00682
441,34.29,9.244,0.00426
443,34.44,9.249,0.00511
445,34.41,9.254,0.00597
447,36.71,9.259,0.00426
449,34.19,9.263,0.00597
451,34.29,9.267,0.00597
453,34.31,9.271,0.00682
455,34.44,9.274,0.00682
457,34.49,9.274,0.00511
459,33.96,9.267,0.00597
461,34.56,9.262,0.00767
463,34.31,9.257,0.00767
465,34.56,9.255,0.00682
467,34.59,9.263,0.00682
469,34.36,9.269,0.00767
471,34.23,9.276,0.00767
473,34,9.283,0.0128
475,34.13,9.292,0.00767
477,34.37,9.3,0.00767
479,34.57,9.308,0.00597
481,34.43,9.313,0.00767
483,34.38,9.319,0.00938
485,34.35,9.326,0.00682
487,34.42,9.332,0.00682
489,34.35,9.336,0.00767
491,34.23,9.341,0.00853
493,34.38,9.348,0.00682
497,34.43,9.36,0.00853
499,34.42,9.366,0.00767
503,34.39,9.378,0.00767
505,34.45,9.384,0.00767
507,34.45,9.389,0.00767
509,34.53,9.393,0.00853
511,34.31,9.395,0.00767
513,34.35,9.397,0.00767
515,34.37,9.401,0.00938
517,34.54,9.404,0.00682
519,34.49,9.407,0.00597
521,34.37,9.411,0.00853
523,34.41,9.415,0.00853
525,34.41,9.421,0.00682
527,34.46,9.427,0.00682
529,34.39,9.434,0.00853
531,34.42,9.439,0.0102
533,34.31,9.442,0.00853
537,34.52,9.448,0.00767
538,34.49,9.451,0.00938
540,34.45,9.458,0.00938
542,34.5,9.464,0.00938
544,34.43,9.468,0.0119
546,34.27,9.472,0.00853
548,34.39,9.478,0.00767
550,34.11,9.483,0.0102
552,34.5,9.488,0.00938
554,34.53,9.492,0.0111
556,34.8,9.497,0.00853
558,34.43,9.501,0.00938
560,34.38,9.506,0.00938
562,34.46,9.51,0.00853
564,34.47,9.515,0.00938
566,34.48,9.519,0.00767
568,34.5,9.523,0.00853
570,34.4,9.528,0.00853
572,34.44,9.533,0.00853
574,34.52,9.539,0.00853
576,34.5,9.543,0.0102
578,34.86,9.548,0.00938
580,34.59,9.555,0.00767
582,34.68,9.559,0.00853
584,34.57,9.562,0.00853
586,34.54,9.566,0.00853
588,34.45,9.57,0.00853
590,34.49,9.573,0.00767
592,34.49,9.577,0.0102
594,34.62,9.579,0.00767
596,34.4,9.582,0.00853
598,34.63,9.586,0.00853
600,34.46,9.59,0.00938
602,34.39,9.593,0.00682
604,34.46,9.596,0.0102
606,34.02,9.6,0.00682
610,34.46,9.609,0.00853
612,34.55,9.611,0.00853
614,34.44,9.613,0.00938
616,34.48,9.615,0.00767
618,34.59,9.617,0.0102
620,34.74,9.616,0.00682
622,34.7,9.618,0.0111
624,34.56,9.622,0.00853
626,34.54,9.625,0.00938
628,34.55,9.63,0.00853
630,34.5,9.635,0.00853
634,34.55,9.638,0.00938
636,34.39,9.641,0.00767
657,34.41,9.671,0.00938
659,34.53,9.673,0.00938
661,34.53,9.675,0.00938
663,34.48,9.677,0.0102
665,34.56,9.678,0.0102
667,34.5,9.681,0.00938
669,34.47,9.684,0.00767
671,34.68,9.686,0.0111
673,34.48,9.688,0.00938
675,34.73,9.69,0.00938
677,34.59,9.692,0.00938
679,34.62,9.694,0.00938
681,34.51,9.695,0.00938
683,32.61,9.698,0.0111
685,34.57,9.701,0.00938
687,34.62,9.703,0.0102
689,34.51,9.705,0.0102
691,34.73,9.706,0.0102
693,34.69,9.709,0.0111
695,34.55,9.711,0.0102
697,34.67,9.713,0.0102
699,34.74,9.715,0.0111
701,34.55,9.717,0.0128
703,34.66,9.72,0.0102
705,34.54,9.721,0.00938
707,34.63,9.723,0.0102
709,34.55,9.724,0.0102
711,34.68,9.726,0.00938
713,34.65,9.728,0.00853
755,34.84,9.765,0.00938
759,37.7,9.769,0.0102
761,34.74,9.771,0.00938
765,34.68,9.774,0.0102
766,35.15,9.777,0.0102
768,34.71,9.778,0.00853
770,34.57,9.779,0.00853
774,34.77,9.783,0.00853
776,32.96,9.785,0.00938
778,34.77,9.787,0.0102
780,34.8,9.79,0.00938
784,34.72,9.794,0.0102
788,34.73,9.797,0.00938
790,34.74,9.799,0.00853
828,37.05,9.835,0.00767
832,34.75,9.837,0.00853
846,36.15,9.847,0.0102
860,26.13,9.855,0.0111
862,36.76,9.856,0.00938
864,34.8,9.857,0.0102
868,37.45,9.86,0.0119
870,34.73,9.861,0.0111
933,34.76,9.897,0.00938
943,35.83,9.904,0.0111
951,34.69,9.91,0.0102
953,34.81,9.91,0.0111
955,34.69,9.912,0.0102
961,34.78,9.916,0.0111
963,34.68,9.917,0.0128
965,34.66,9.919,0.0111
967,34.67,9.921,0.0102
969,34.73,9.923,0.0102
